,A1,A2,A3,A4,A5,A6,A7,P1,P2,P3,P4,P5,P6,P7
24,150.52,150.49,150.45,150.39,150.35,150.32,150.3,148.22066,147.6169,147.66148,148.10638,148.40262,148.69589,149.0768
25,150.49,150.45,150.39,150.35,150.32,150.3,150.26,147.99522,147.66917,147.62991,148.08244,148.52368,149.08528,149.41293
26,150.45,150.39,150.35,150.32,150.3,150.26,150.23,147.85063,147.55333,147.53737,147.9504,148.33748,148.92024,149.26198
27,150.39,150.35,150.32,150.3,150.26,150.23,150.19,147.6491,147.61528,147.609,147.86378,148.2247,148.74803,149.03674
28,150.35,150.32,150.3,150.26,150.23,150.19,150.15,147.61879,147.54247,147.54173,147.78664,148.17197,148.71567,149.02913
29,150.32,150.3,150.26,150.23,150.19,150.15,150.12,147.87578,147.69315,147.67175,148.15565,148.69243,149.32146,149.64803
30,150.3,150.26,150.23,150.19,150.15,150.12,150.09,147.46606,147.42848,147.43956,147.70012,148.12506,148.72485,149.06917
31,150.26,150.23,150.19,150.15,150.12,150.09,150.04,147.48799,147.62292,147.70149,147.75368,147.8895,148.38414,148.69067
32,150.23,150.19,150.15,150.12,150.09,150.04,150.01000000000002,147.4059,147.4625,147.53094,147.77757,148.14107,148.63579,148.88739
33,150.19,150.15,150.12,150.09,150.04,150.01000000000002,149.97000000000003,147.38228,147.47787,147.5867,147.85408,148.23163,148.73605,148.981
34,150.15,150.12,150.09,150.04,150.01000000000002,149.97000000000003,149.93000000000004,147.37012,147.39792,147.46463,147.78673,148.19133,148.77994,149.11737
35,150.12,150.09,150.04,150.01000000000002,149.97000000000003,149.93000000000004,149.89,147.2927,147.23764,147.31413,147.60596,147.98636,148.55453,148.95668
36,150.09,150.04,150.01000000000002,149.97000000000003,149.93000000000004,149.89,149.85,147.25902,147.26273,147.31747,147.59706,147.98642,148.52905,148.84322
37,150.04,150.01000000000002,149.97000000000003,149.93000000000004,149.89,149.85,149.81,147.27463,147.38004,147.4997,147.74654,148.03685,148.46375,148.66255
38,150.01000000000002,149.97000000000003,149.93000000000004,149.89,149.85,149.81,149.77,147.25703,147.3525,147.50244,147.75893,148.08371,148.5725,148.82446
39,149.97000000000003,149.93000000000004,149.89,149.85,149.81,149.77,149.74,147.22827,147.33025,147.43872,147.7108,148.0315,148.50919,148.71446
40,149.93000000000004,149.89,149.85,149.81,149.77,149.74,149.7,147.17075,147.27031,147.40323,147.6962,148.04596,148.51236,148.7467
41,149.89,149.85,149.81,149.77,149.74,149.7,149.66,147.17984,147.3013,147.39496,147.5785,147.80139,148.31787,148.59824
42,149.85,149.81,149.77,149.74,149.7,149.66,149.62,147.18538,147.22028,147.3019,147.6238,148.06886,148.65651,148.98544
43,149.81,149.77,149.74,149.7,149.66,149.62,149.58,147.08853,147.09595,147.15314,147.46057,147.89513,148.48904,148.79813
44,149.77,149.74,149.7,149.66,149.62,149.58,149.55,147.01869,147.07526,147.10733,147.33632,147.61855,148.07826,148.26195
45,149.74,149.7,149.66,149.62,149.58,149.55,149.51,147.0502,146.8925,146.89615,147.23805,147.62444,148.16205,148.50092
46,149.7,149.66,149.62,149.58,149.55,149.51,149.47,146.98221,147.02434,147.13553,147.4906,147.73082,148.08699,148.26796
47,149.66,149.62,149.58,149.55,149.51,149.47,149.42,146.92532,147.1529,147.22762,147.37383,147.44939,147.80724,147.90121
48,149.62,149.58,149.55,149.51,149.47,149.42,149.37,146.99661,147.25163,147.30396,147.33229,147.56543,148.31874,148.79628
49,149.58,149.55,149.51,149.47,149.42,149.37,149.33,146.82022,146.87747,147.0464,147.16286,147.45544,147.86716,148.15588
50,149.55,149.51,149.47,149.42,149.37,149.33,149.29,146.9798,147.11133,147.32997,147.38284,147.54388,147.73851,147.87535
51,149.51,149.47,149.42,149.37,149.33,149.29,149.24,146.73741,146.81937,146.96461,147.16682,147.51569,148.01733,148.2847
52,149.47,149.42,149.37,149.33,149.29,149.24,149.19,146.95863,146.82378,147.01576,147.39552,147.83522,148.43437,148.81491
53,149.42,149.37,149.33,149.29,149.24,149.19,149.13,146.74603,146.62631,146.76515,147.13878,147.5244,148.11746,148.53923
54,149.37,149.33,149.29,149.24,149.19,149.13,149.07,146.65202,146.60912,146.7598,147.07878,147.44778,147.99754,148.39969
55,149.33,149.29,149.24,149.19,149.13,149.07,149.03,146.55568,146.54948,146.6414,146.93204,147.32756,147.86786,148.20512
56,149.29,149.24,149.19,149.13,149.07,149.03,148.98,146.59705,146.61441,146.64684,146.9325,147.36275,147.93689,148.26373
57,149.24,149.19,149.13,149.07,149.03,148.98,148.93,146.57816,146.63303,146.65257,146.87479,147.2185,147.822,148.13818
58,149.19,149.13,149.07,149.03,148.98,148.93,148.88,146.51222,146.52057,146.53046,146.67902,146.89365,147.29512,147.47717
59,149.13,149.07,149.03,148.98,148.93,148.88,148.84,146.4153,146.4026,146.42493,146.56442,146.82475,147.21872,147.43953
60,149.07,149.03,148.98,148.93,148.88,148.84,148.8,146.34451,146.36375,146.41833,146.5807,146.80298,147.15561,147.35988
61,149.03,148.98,148.93,148.88,148.84,148.8,148.75,146.34047,146.38916,146.41092,146.62129,146.88016,147.271,147.42477
62,148.98,148.93,148.88,148.84,148.8,148.75,148.7,146.42345,146.2901,146.25648,146.595,147.0365,147.85371,148.33092
63,148.93,148.88,148.84,148.8,148.75,148.7,148.66,146.26068,146.23271,146.21916,146.37415,146.71016,147.49153,147.9976
64,148.88,148.84,148.8,148.75,148.7,148.66,148.6,146.14374,146.1226,146.1425,146.35457,146.71104,147.20053,147.44272
65,148.84,148.8,148.75,148.7,148.66,148.6,148.55,146.1327,146.14973,146.21873,146.45445,146.79085,147.26498,147.49167
66,148.8,148.75,148.7,148.66,148.6,148.55,148.49,146.17715,146.12794,146.14455,146.35951,146.62172,147.03203,147.19165
67,148.75,148.7,148.66,148.6,148.55,148.49,148.43,146.06357,145.99832,146.05226,146.29959,146.66487,147.18167,147.47462
68,148.7,148.66,148.6,148.55,148.49,148.43,148.38,146.00565,145.84286,145.8718,146.19934,146.61081,147.17491,147.51605
69,148.66,148.6,148.55,148.49,148.43,148.38,148.33,145.9056,145.98595,146.05414,146.21739,146.41469,146.7547,146.8956
70,148.6,148.55,148.49,148.43,148.38,148.33,148.28,145.80054,145.81479,145.86586,146.06526,146.37071,146.85616,147.11598
71,148.55,148.49,148.43,148.38,148.33,148.28,148.23,145.9847,145.92746,145.94159,146.24828,146.61008,147.06761,147.30899
72,148.49,148.43,148.38,148.33,148.28,148.23,148.18,145.98276,145.99399,146.0568,146.37048,146.69873,147.07318,147.2183
73,148.43,148.38,148.33,148.28,148.23,148.18,148.12,145.82204,145.91394,145.9003,145.95473,146.09984,146.6641,146.95749
74,148.38,148.33,148.28,148.23,148.18,148.12,148.06,145.7885,145.7725,145.73955,145.8723,146.23705,147.02264,147.48256
75,148.33,148.28,148.23,148.18,148.12,148.06,148.0,146.03484,145.84604,145.82562,146.12064,146.50504,147.01355,147.27173
76,148.28,148.23,148.18,148.12,148.06,148.0,147.93000000000004,145.974,145.84691,145.86249,146.09552,146.34134,146.64859,146.75461
77,148.23,148.18,148.12,148.06,148.0,147.93000000000004,147.87,146.14252,146.06898,146.13762,146.41771,146.74791,147.08464,147.28186
78,148.18,148.12,148.06,148.0,147.93000000000004,147.87,147.81,146.07779,146.04399,146.09854,146.4304,146.7316,146.95415,147.03262
79,148.12,148.06,148.0,147.93000000000004,147.87,147.81,147.76,145.86018,145.75558,145.64896,145.8874,146.20743,146.594,146.71048
80,148.06,148.0,147.93000000000004,147.87,147.81,147.76,147.71,145.74734,145.58772,145.52992,145.81564,146.21252,146.73537,146.98161
81,148.0,147.93000000000004,147.87,147.81,147.76,147.71,147.65,145.86082,145.49527,145.47275,145.86725,146.31407,146.7419,147.01312
82,147.93000000000004,147.87,147.81,147.76,147.71,147.65,147.58,145.5865,145.30122,145.31552,145.6555,146.08743,146.53998,146.83018
83,147.87,147.81,147.76,147.71,147.65,147.58,147.52,145.58115,145.44212,145.49287,145.78108,146.12164,146.4344,146.58084
84,147.81,147.76,147.71,147.65,147.58,147.52,147.45,145.69585,145.55777,145.52036,145.74556,146.01279,146.3072,146.4201
85,147.76,147.71,147.65,147.58,147.52,147.45,147.37,145.60855,145.45087,145.52307,145.91045,146.39954,146.80505,147.04129
86,147.71,147.65,147.58,147.52,147.45,147.37,147.29,145.54497,145.53339,145.72668,146.09297,146.52927,146.8129,147.00336
87,147.65,147.58,147.52,147.45,147.37,147.29,147.22,145.14557,145.18965,145.38606,145.66924,146.12697,146.52194,146.78612
88,147.58,147.52,147.45,147.37,147.29,147.22,147.15,145.09343,145.08044,145.23521,145.5521,146.08171,146.61478,146.96947
89,147.52,147.45,147.37,147.29,147.22,147.15,147.08,145.05608,144.97134,144.99698,145.2454,145.71425,146.14421,146.39467
90,147.45,147.37,147.29,147.22,147.15,147.08,147.01,144.97203,144.8654,144.91426,145.10889,145.51587,145.87834,146.1097
